method,average_function_value,average_error,average_time_duration, average_total_memory
diffrential evolution algorithm,1.1419324127947534e-07,1.1419324127947534e-07,0.24477410078048706,0.00015625
evolution strategies algorithm,5.337148546852163e-07,5.337148546852163e-07,0.2503105640411377,0.00046875
genetic algorithm,0.0020792367618964087,0.0020792367618964087,0.2546488165855408,0.000390625
artificial immune recognition system,0.09616176366909918,0.09616176366909918,0.24415431737899781,0.0018359375
colonal selection algorithm,0.000363332838401599,0.000363332838401599,1.5821378231048584,0.014296875
dendritic cell algorithm,0.05551952994087009,0.05551952994087009,0.23988037347793578,0.0001171875
harmony search algorithm,0.4676841955501626,0.4676841955501626,0.23387606382369996,0.000234375
mematic algorithm,1.424743922142399e-07,1.424743922142399e-07,1.6232535028457642,0.0015625
physical annealing algorithm,1.1411118300672518,1.1411118300672518,0.23403176307678222,0.0
greedy randomized adaptive search,0.011823183050888529,0.011823183050888529,0.2518265199661255,0.0
random search,1.380115002588716,1.380115002588716,0.23379271507263183,0.0
tabu search,0.014190014002258342,0.014190014002258342,0.25261908769607544,0.0
ant colony system,0.1343056598985683,0.1343056598985683,0.23387356996536254,0.0
particle swarm optimization algorithm,0.014803410509590813,0.014803410509590813,0.250477135181427,0.000390625
bacterial foarging optimization algorithm,7.408675138685178e-05,7.408675138685178e-05,14.540982949733735,0.001640625
